Gene	ID	Description
LOC643576	00001	carbohydrate_metabolism
SLC5A2	00001	carbohydrate_metabolism
PTGR2	00001	carbohydrate_metabolism
HS3ST2	00001	carbohydrate_metabolism
HAS3	00001	carbohydrate_metabolism
GFPT1	00001	carbohydrate_metabolism
PGLYRP3	00001	carbohydrate_metabolism
HYAL1	00001	carbohydrate_metabolism
TREH	00001	carbohydrate_metabolism
HK2	00001	carbohydrate_metabolism
PFKM	00001	carbohydrate_metabolism
UGT1A3	00001	carbohydrate_metabolism
UGT1A10	00001	carbohydrate_metabolism
CHID1	00001	carbohydrate_metabolism
GCG	00001	carbohydrate_metabolism
LOC729468	00001	carbohydrate_metabolism
SLC2A2	00001	carbohydrate_metabolism
PGLS	00001	carbohydrate_metabolism
FBP2	00001	carbohydrate_metabolism
PGD	00001	carbohydrate_metabolism
GNPDA1	00001	carbohydrate_metabolism
ADH1B	00001	carbohydrate_metabolism
FUCA2	00001	carbohydrate_metabolism
SLC2A10	00001	carbohydrate_metabolism
IDS	00001	carbohydrate_metabolism
PFKL	00001	carbohydrate_metabolism
REEP6	00001	carbohydrate_metabolism
PPP1R3F	00001	carbohydrate_metabolism
FOXB1	00001	carbohydrate_metabolism
FOXD1	00001	carbohydrate_metabolism
FOXD4L2	00001	carbohydrate_metabolism
SH3BP4	00001	carbohydrate_metabolism
SPACA5	00001	carbohydrate_metabolism
LOC100128086	00001	carbohydrate_metabolism
PRKAB1	00001	carbohydrate_metabolism
SDHA	00001	carbohydrate_metabolism
ST8SIA1	00001	carbohydrate_metabolism
NEU3	00001	carbohydrate_metabolism
PGM2L1	00001	carbohydrate_metabolism
LYZL2	00001	carbohydrate_metabolism
ECHDC2	00001	carbohydrate_metabolism
PGAM2	00001	carbohydrate_metabolism
LOC727913	00001	carbohydrate_metabolism
KHK	00001	carbohydrate_metabolism
FOXN4	00001	carbohydrate_metabolism
PPP5C	00001	carbohydrate_metabolism
PRKAB2	00001	carbohydrate_metabolism
ECHDC1	00001	carbohydrate_metabolism
NEU2	00001	carbohydrate_metabolism
PMM1	00001	carbohydrate_metabolism
SDHD	00001	carbohydrate_metabolism
EXT2	00001	carbohydrate_metabolism
SMA4	00001	carbohydrate_metabolism
FOXD2	00001	carbohydrate_metabolism
FOXD3	00001	carbohydrate_metabolism
XYLB	00001	carbohydrate_metabolism
SUCLG2	00001	carbohydrate_metabolism
INSR	00001	carbohydrate_metabolism
PECI	00001	carbohydrate_metabolism
TRIM7	00001	carbohydrate_metabolism
ACACA	00001	carbohydrate_metabolism
FOXM1	00001	carbohydrate_metabolism
FOXP3	00001	carbohydrate_metabolism
MAEA	00001	carbohydrate_metabolism
REEP2	00001	carbohydrate_metabolism
GALNT2	00001	carbohydrate_metabolism
SLC2A14	00001	carbohydrate_metabolism
ABO	00001	carbohydrate_metabolism
ADRB3	00001	carbohydrate_metabolism
CS	00001	carbohydrate_metabolism
IGF1R	00003	regulation_of_carbohydrate_metabolism
YES1	00004	carbohydrate_transport
FGR	00004	carbohydrate_transport
SORBS1	00004	carbohydrate_transport
SH3BP4	00004	carbohydrate_transport
SLC35B1	00004	carbohydrate_transport
SLC2A4	00004	carbohydrate_transport
PGK1	00005	glycolysis
PFKFB4	00005	glycolysis
ALDOB	00005	glycolysis
ACACB	00006	gluconeogenesis
PCCA	00006	gluconeogenesis
PGLS	00007	pentose-phosphate_shunt
PGD	00007	pentose-phosphate_shunt
RPE	00007	pentose-phosphate_shunt
IDH2	00008	tricarboxylic_acid_pathway
MDH1	00008	tricarboxylic_acid_pathway
DHTKD1	00008	tricarboxylic_acid_pathway
OGDHL	00008	tricarboxylic_acid_pathway
GALNT5	00009	other_polysaccharide_metabolism
NDST3	00009	other_polysaccharide_metabolism
WBSCR17	00009	other_polysaccharide_metabolism
B4GALT3	00009	other_polysaccharide_metabolism
UGT1A9	00009	other_polysaccharide_metabolism
UGT1A5	00009	other_polysaccharide_metabolism
CMAS	00009	other_polysaccharide_metabolism
HYAL3	00009	other_polysaccharide_metabolism
